OBJECTID,FacilityID,SourceID,SourceOID,FromPosition,ToPosition,FromCumul_Length,FromCumul_DriveTime,ToCumul_Length,ToCumul_DriveTime,Shape__Length
1,4,3,2482791,1,0,,2.30857243905433,,2.41188243905433,275.608894219664
2,8,3,213577,0,0.959399360426468,,1.48644023815923,,2,683.299957884803
3,11,3,548530,0.663016379270376,0.337311475519061,,3.3504141863858,,3.46801710739309,154.305647531338
4,2,3,1173041,0,0.311124090178113,,1.94312371619863,,2,75.9266992662555
5,11,3,1045982,0.278701610046128,0.270027053966697,,2,,2.01616317889902,12.9677718174555
6,9,3,1196223,0.339346130864261,0.0625174319195467,,0.643749164408552,,0.7790705068276,180.498797353243
7,5,3,979583,0.939719152491919,0.673562370215036,,1.27208487491302,,1.39669602033689,99.8459689042708
8,11,3,2103516,0.513582926411914,0.261321478178993,,2.381075067233,,2.71253727653747,441.30576295418
9,11,3,1184126,0.554931292547794,0.278336751923924,,2.85765755916215,,2.94180702263431,67.5661897143549
10,12,3,1624681,0.397670524033041,0.538002282546152,,0.918681955894407,,1,108.434880436836
11,4,3,2825642,0,1,,2.31001214750399,,2.41283914750399,273.895898607412
12,15,3,1327870,1,0.899876532393006,,1.38286496415978,,1.42081025653081,30.3726965285382
13,11,3,1051582,1,0.863019088287042,,2.87742756894836,,2.95143219140584,99.0535905399205
14,10,3,1125254,0,1,,1.17279766530133,,1.21357666530133,54.3286400144259
15,2,3,1108981,0.501779425443907,0,,1.16413419157881,,1.3995299592019,62.7872129493377
16,11,3,1184143,0.59122126846608,0.367799301023189,,3.28884249311842,,3.60969833371922,257.634173597037
17,3,3,2749808,0.83771257394012,1,,2.63647023976296,,2.67388025035601,99.8934012738633
18,8,3,141454,1,0,,3.60870324459396,,3.65930724459396,67.4786086183577
19,13,3,2501906,0,0.379973293378442,,3.14662833918893,,3.1635930068184,13.5911329225801
20,11,3,2373361,1,0.0517265879339135,,2.01907788391102,,2.08827339478948,92.6270392958771
21,9,3,1187163,0,0.525712113933783,,1.05642100849617,,1.24429316951635,150.636485974944
22,8,3,2509622,0.0716689594065165,0.105093800012221,,1.8452515837373,,1.85676035800498,9.20558259632553
23,6,3,1505275,0.00921557482707325,0.355236575533648,,1,,2,130.49751168581
24,12,3,2776843,0.164136697237523,0.528794302544965,,2,,2.34238213082963,274.001059400555
25,8,3,533960,0.468882758417588,0.497129219626982,,2.78859156562639,,2.79808579441456,7.61737770443375
26,14,3,2105365,0,0.323548931258436,,2.36801031144332,,2.42990231005267,80.8426020480603
27,14,3,589392,1,0.583189292480308,,3.70960698703167,,3.90399457988692,52.0179316888884
28,13,3,205355,1,0,,1.49941938694252,,1.87495638694252,501.215117865717
29,8,3,220932,0,1,,1.34946776184077,,1.36269776184077,10.608425945393
30,12,3,545870,0,0.45876675437559,,1.87066172400591,,2,103.861383566193
31,8,3,2183499,1,0.87591423305726,,3.6425088157639,,3.65889173548758,21.9021876014348
32,9,3,135430,1,0.919326414513894,,1.39974646150806,,1.40672391991675,9.32567170904892
